Path object_type object_name object_size parant_directory
C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced Directory Seminar_8 106374 Python_advanced
C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\ File __init__.py 0 
C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager Directory __pycache__ 18377 File_manager
C:\Users\Алексей\Desktop\GreekBrains\ДОМАШКА\Python_advanced\Python_advanced\Seminar_8\File_manager\__pycache__ File __init__.cpython-311.pyc 237 __pycache__
